,HIGHDEG,INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,LOCALE,UGDS,ADM_RATE,C150_4,SAT_AVG,UGDS_BLACK,UGDS_WHITE,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,RELAFFIL,COSTT4_A,PCTPELL,PCTFLOAN
48,4,Arizona State University-Tempe,Tempe,AZ,33.422247,-111.934629,12,39316,0.8433,0.6343,1145,0.0394,0.5457,0.188,0.0686,0.0133,-2,22312,0.3192,0.4527
49,4,University of Arizona,Tucson,AZ,32.232071,-110.950769,11,32646,0.7462,0.6026,""" """,0.0355,0.5323,0.2535,0.0555,0.0115,-2,24617,0.3349,0.4055
50,4,Southwest University of Visual Arts-Tucson,Tucson,AZ,32.252384,-110.927321,11,161,""" """,0.9623,""" """,0.0435,0.4534,0.3168,0.0062,0.0311,-2,44388,0.4469,0.4292
51,3,Brown Mackie College-Tucson,Tucson,AZ,32.236736,-110.895086,11,611,""" """,0.3158,""" """,0.1211,0.3552,0.4354,0.018,0.0573,-2,24379,0.8567,0.7895
52,4,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,34.615678,-112.452285,41,1971,0.8016,0.5841,""" """,0.0167,0.5753,0.0558,0.0553,0.0036,-2,46174,0.2501,0.5189
53,4,Frank Lloyd Wright School of Architecture,Scottsdale,AZ,33.60715,-111.846477,41,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,-2,""" """,""" """,""" """
54,4,Grand Canyon University,Phoenix,AZ,33.512172,-112.129917,11,38905,0.5757,0.2788,""" """,0.1867,0.479,0.1652,0.0443,0.0093,-2,30945,0.5055,0.6189
55,3,ITT Technical Institute-Tucson,Tucson,AZ,32.297261,-110.997501,21,400,0.9358,0.2969,""" """,0.0625,0.4375,0.3375,0.0275,0.0525,-2,27071,0.8191,0.7311
56,3,ITT Technical Institute-Tempe,Tempe,AZ,33.380355,-111.969169,12,445,0.9191,0.3038,""" """,0.0921,0.4427,0.2517,0.0247,0.1326,-2,27722,0.7229,0.8012
57,3,Dine College,Tsaile,AZ,36.293328,-109.21684,43,1420,""" """,0.1487,""" """,0.0014,0.0056,0.0007,0.0028,0.9894,-2,11610,0.6092,0
58,4,Northern Arizona University,Flagstaff,AZ,35.180095,-111.657653,13,23189,0.8099,0.5157,""" """,0.0336,0.6109,0.2034,0.0165,0.0272,-2,22561,0.3662,0.5376
59,4,Ottawa University-Phoenix,Phoenix,AZ,33.57172,-112.113301,11,345,""" """,""" """,""" """,0.0957,0.5188,0.1449,0.0087,0.0319,52,""" """,0.5246,0.6203
60,3,Pima Medical Institute-Tucson,Tucson,AZ,32.250448,-110.921306,11,1948,""" """,0.6602,""" """,0.0657,0.4533,0.3676,0.0498,0.0149,-2,""" """,0.503,0.639
61,4,Prescott College,Prescott,AZ,34.5445,-112.476509,13,454,0.6873,0.3483,1073,0.0198,0.7004,0.0176,0.022,0.0352,-2,41256,0.455,0.6073
62,3,Arizona Christian University,Phoenix,AZ,33.595117,-112.026211,11,620,0.5673,0.6119,988,0.0855,0.6016,0.1661,0.0113,0.0113,88,33945,0.3039,0.463
63,4,Western International University,Tempe,AZ,33.403625,-111.964182,12,996,""" """,0.0235,""" """,0.1325,0.4669,0.1496,0.009,0.0151,-2,9800,0.3053,0.3413
64,4,University of Arkansas at Little Rock,Little Rock,AR,34.726644,-92.341835,12,7942,0.5928,0.2654,1048,0.2703,0.5297,0.0699,0.0225,0.0034,-2,22521,0.3941,0.4775
65,4,University of Arkansas for Medical Sciences,Little Rock,AR,34.749718,-92.320945,12,711,""" """,""" """,""" """,0.1322,0.737,0.0464,0.0281,0.0042,-2,""" """,0.3944,0.6144
66,3,Arkansas Baptist College,Little Rock,AR,34.734751,-92.290555,12,896,""" """,0.194,""" """,0.942,0.0413,0.0067,0.0011,0,54,19800,0.8306,0.8695
67,3,Lyon College,Batesville,AR,35.778934,-91.628115,33,690,0.6142,0.4902,1109,0.0681,0.742,0.0623,0.0159,0.0145,66,33605,0.4578,0.674
68,4,University of Arkansas,Fayetteville,AR,36.06153,-94.178214,13,21405,0.6204,0.6228,1155,0.05,0.7798,0.0692,0.0251,0.0117,-2,20350,0.2359,0.4026
69,4,University of Arkansas at Pine Bluff,Pine Bluff,AR,34.242192,-92.021263,13,2391,0.3868,0.2721,886,0.9281,0.0431,0.0146,0.0033,0.0013,-2,15409,0.7231,0.7422
70,4,Arkansas State University-Main Campus,Jonesboro,AR,35.842779,-90.680478,13,9139,0.7239,0.393,1088,0.1448,0.7372,0.0235,0.0074,0.0043,-2,19359,0.4522,0.5342
71,4,Arkansas Tech University,Russellville,AR,35.295227,-93.13233,33,8845,0.8626,0.4455,1010,0.0897,0.7751,0.0531,0.0119,0.0099,-2,16518,0.4447,0.4517
72,4,University of Arkansas at Monticello,Monticello,AR,33.589788,-91.812971,33,2885,""" """,0.2844,""" """,0.3224,0.5972,0.0364,0.0042,0.0017,-2,16071,0.6096,0.551
73,4,University of Central Arkansas,Conway,AR,35.078196,-92.45931,13,9232,0.9426,0.4467,1049,0.1969,0.6545,0.0434,0.0168,0.0048,-2,18354,0.4101,0.5125
74,3,Central Baptist College,Conway,AR,35.084574,-92.444102,13,788,0.5697,0.3173,985,0.2221,0.6701,0.0419,0.0013,0.014,54,21616,0.4426,0.5913
75,3,Crowley's Ridge College,Paragould,AR,36.066239,-90.58482,41,173,""" """,0.1935,""" """,0.0347,0.9364,0.0231,0.0058,0,74,18743,0.475,0.5
76,4,Harding University,Searcy,AR,35.249605,-91.729008,32,4485,0.9912,0.6255,1131,0.0397,0.8299,0.0308,0.008,0.0071,74,26484,0.2663,0.5526
77,4,Henderson State University,Arkadelphia,AR,34.127792,-93.060313,32,3226,0.6278,0.3619,989,0.2365,0.6569,0.0422,0.0071,0.0015,-2,18679,0.5408,0.5964
78,4,Hendrix College,Conway,AR,35.09972,-92.442021,13,1322,0.8282,0.7256,1244,0.0492,0.7753,0.0492,0.0567,0.0166,71,52536,0.1861,0.4703
79,4,John Brown University,Siloam Springs,AR,36.191077,-94.559088,32,1742,0.6978,0.6059,""" """,0.0253,0.7618,0.0591,0.0121,0.0178,-2,34776,0.3053,0.5067
80,3,Ouachita Baptist University,Arkadelphia,AR,34.125045,-93.052442,32,1455,0.7061,0.5817,1112,0.079,0.8426,0.0399,0.0089,0.0069,75,32560,0.289,0.5431
81,3,University of the Ozarks,Clarksville,AR,35.477785,-93.467924,33,578,0.8892,0.4769,1061,0.0571,0.6713,0.1488,0.0017,0.0069,66,35438,0.4239,0.4957
82,3,Philander Smith College,Little Rock,AR,34.73666,-92.28242,12,565,""" """,0.3857,""" """,0.9027,0.0053,0.0035,0.0053,0.0018,71,25061,0.7176,0.8669
83,3,Williams Baptist College,Walnut Ridge,AR,36.126825,-90.939876,42,508,0.7049,0.4056,983,0.0906,0.8504,0.0236,0,0.0098,75,23161,0.4704,0.6028
84,4,Southern Arkansas University Main Campus,Magnolia,AR,33.291195,-93.235087,33,2784,0.7142,0.3061,989,0.2856,0.6311,0.0248,0.0065,0.0047,-2,18887,0.5034,0.4794
85,3,University of Arkansas-Fort Smith,Fort Smith,AR,35.385345,-94.374073,13,5990,0.5629,0.2578,""" """,0.0466,0.7244,0.0885,0.0456,0.028,-2,13983,0.5074,0.3813
86,4,Academy of Art University,San Francisco,CA,37.787748,-122.400686,11,9885,""" """,0.3111,""" """,0.0685,0.2392,0.1141,0.0804,0.0051,-2,35919,0.4008,0.5524
87,3,ITT Technical Institute-Rancho Cordova,Rancho Cordova,CA,38.59172,-121.281506,13,500,0.8599,0.3388,""" """,0.114,0.472,0.11,0.076,0.008,-2,27550,0.7137,0.7667
88,4,Academy of Chinese Culture and Health Sciences,Oakland,CA,37.806662,-122.272733,11,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,-2,""" """,""" """,""" """
89,4,American Baptist Seminary of the West,Berkeley,CA,37.865252,-122.256149,12,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,52,""" """,""" """,""" """
90,4,American Film Institute Conservatory,Los Angeles,CA,34.10846,-118.309989,11,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,""" """,-2,""" """,""" """,""" """
91,4,American Conservatory Theater,San Francisco,CA,37.787326,-122.404945,11,0,""" """,""" """,""" """,0,0,0,0,0,-2,""" """,""" """,""" """
92,4,Art Center College of Design,Pasadena,CA,34.170844,-118.186901,12,1814,0.809,0.6716,""" """,0.0116,0.2001,0.1097,0.3484,0.0022,-2,57738,0.3599,0.4929
93,4,Azusa Pacific University,Azusa,CA,34.130865,-117.88795,21,5918,0.8183,0.6716,1037,0.0448,0.4714,0.2614,0.0912,0.0019,88,45472,0.2898,0.5172
94,4,Bethesda University,Anaheim,CA,33.842295,-117.941323,11,261,0.6686,0.75,""" """,0.1456,0.1111,0.2261,0.4751,0,99,13885,0.3686,0.2078
95,4,Biola University,La Mirada,CA,33.904823,-118.017342,21,4364,0.754,0.6891,1122,0.0209,0.5165,0.1829,0.1613,0.0014,88,46162,0.311,0.6176
